State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Arrivals_Qtl
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-26,1840,2343,2092,106
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-25,1889,2404,2147,163
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-24,1912,2433,2173,690
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-23,1933,2460,2197,175
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-22,1946,2477,2212,195
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-21,1942,2471,2207,762
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-20,1972,2509,2241,126
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-19,1970,2507,2239,156
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-18,2019,2570,2295,410
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-17,1987,2530,2259,287
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-16,2018,2569,2294,760
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-15,2017,2568,2293,378
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-14,2046,2605,2326,759
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-13,2024,2577,2301,348
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-12,2001,2546,2274,698
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-11,2031,2584,2308,116
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-10,2035,2590,2313,456
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-09,2026,2579,2303,462
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-08,2045,2602,2324,748
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-07,2036,2591,2314,507
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-06,2031,2584,2308,740
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-05,1996,2541,2269,254
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-04,1955,2488,2222,149
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-08-03,1988,2531,2260,101
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-08-02,1959,2494,2227,201
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-08-01,1971,2508,2240,301
Maharashtra,Nashik,Pimpalgaon,Tomato,Hybrid,FAQ,2026-07-31,1935,2462,2199,425
Maharashtra,Nashik,Pimpalgaon,Tomato,Vaishali,FAQ,2026-07-30,1911,2432,2172,220
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-07-29,1892,2408,2150,782
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,FAQ,2026-07-28,1884,2399,2142,364
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-26,1515,1928,1722,481
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-25,1584,2017,1801,788
Maharashtra,Nashik,Pimpalgaon,Onion,Garwa,FAQ,2026-08-24,1598,2035,1817,410
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-23,1615,2056,1836,321
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-22,1595,2030,1813,344
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-21,1617,2058,1838,692
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-20,1648,2097,1873,797
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-19,1675,2132,1904,186
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-18,1675,2132,1904,571
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-17,1676,2133,1905,286
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-16,1692,2153,1923,440
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-15,1692,2153,1923,513
Maharashtra,Nashik,Pimpalgaon,Onion,Garwa,FAQ,2026-08-14,1741,2216,1979,463
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-13,1686,2145,1916,135
Maharashtra,Nashik,Pimpalgaon,Onion,Garwa,FAQ,2026-08-12,1745,2222,1984,560
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-11,1706,2171,1939,692
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-10,1682,2141,1912,510
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-09,1691,2152,1922,118
Maharashtra,Nashik,Pimpalgaon,Onion,Garwa,FAQ,2026-08-08,1697,2160,1929,783
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-07,1702,2167,1935,197
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-06,1690,2151,1921,215
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-05,1721,2190,1956,377
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-04,1675,2132,1904,586
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-08-03,1645,2094,1870,350
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-02,1650,2101,1876,532
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-08-01,1666,2121,1894,637
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-07-31,1605,2042,1824,615
Maharashtra,Nashik,Pimpalgaon,Onion,Red,FAQ,2026-07-30,1602,2039,1821,739
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-07-29,1582,2013,1798,132
Maharashtra,Nashik,Pimpalgaon,Onion,White,FAQ,2026-07-28,1551,1974,1763,436
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-26,2061,2624,2343,629
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-25,2063,2626,2345,355
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-24,2079,2646,2363,660
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-23,2124,2703,2414,642
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-22,2163,2752,2458,797
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-21,2172,2765,2469,211
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-20,2201,2802,2502,273
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-19,2176,2769,2473,295
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-18,2208,2811,2510,670
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-17,2195,2794,2495,543
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-16,2188,2785,2487,478
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-15,2243,2854,2549,666
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-14,2247,2860,2554,326
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-13,2266,2884,2575,386
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-12,2265,2882,2574,601
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-11,2254,2869,2562,418
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-10,2228,2835,2532,682
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-09,2236,2847,2542,776
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-08,2228,2835,2532,273
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-07,2228,2835,2532,521
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-06,2228,2835,2532,770
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-08-05,2221,2826,2524,469
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-04,2228,2835,2532,492
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-03,2194,2793,2494,543
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-08-02,2167,2758,2463,195
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-08-01,2189,2786,2488,176
Maharashtra,Nashik,Pimpalgaon,Wheat,FAQ,FAQ,2026-07-31,2169,2760,2465,555
Maharashtra,Nashik,Pimpalgaon,Wheat,Sharbati,FAQ,2026-07-30,2157,2746,2452,435
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-07-29,2124,2703,2414,339
Maharashtra,Nashik,Pimpalgaon,Wheat,Lok-1,FAQ,2026-07-28,2067,2630,2349,774
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-26,2187,2784,2486,383
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-25,2240,2851,2546,390
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-24,2263,2880,2572,113
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-23,2257,2872,2565,599
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-22,2294,2919,2607,295
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-21,2320,2953,2637,352
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-20,2321,2954,2638,300
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-19,2307,2936,2622,329
Maharashtra,Nashik,Pimpalgaon,Rice,Swarna,FAQ,2026-08-18,2317,2948,2633,314
Maharashtra,Nashik,Pimpalgaon,Rice,Basmati,FAQ,2026-08-17,2318,2951,2635,624
Maharashtra,Nashik,Pimpalgaon,Rice,Paddy(Dpr),FAQ,2026-08-16,2334,2971,2653,723
